name,latitude,longitude,population
Lichtenrade,52.39844,13.40637,52110
Bad Homburg vor der Höhe,50.22683,8.61816,51859
Willich,51.26371,6.54734,51843
Emden,53.36745,7.20778,51526
Neu-Ulm,48.39279,10.01112,51389
Lingen,52.52143,7.31845,51310
Erftstadt,50.81481,6.79387,51207
Neubrück,51.13434,6.63857,51109
Ibbenbüren,52.27964,7.71457,50577
Passau,48.5665,13.43122,50560
Langenhagen,52.44758,9.73741,50439
Schwerte,51.44387,7.5675,50399
Speyer,49.32083,8.43111,50343
Alt-Hohenschönhausen,52.54608,13.5013,50070
Heidenheim an der Brenz,48.67798,10.15162,50067
Treptow,52.49376,13.44469,50000
Peine,52.31928,10.2352,49953
Neunkirchen,49.34449,7.18045,49843
Bad Oeynhausen,52.20699,8.80365,49513
Hof,50.31297,11.91261,49239
Kleve,51.78826,6.13865,49072
Ravensburg,47.78198,9.61062,48825
Frechen,50.91485,6.8118,48733
Elmshorn,53.75396,9.65339,48703
Bornheim,50.76313,6.99089,48523
Soest,51.57558,8.10619,48037
Singen,47.75935,8.8403,48033
Hennef (Sieg),50.77555,7.28308,48002
Rastatt,48.85851,8.20965,47906
Erkrath,51.22235,6.90831,47815
Weißensee,52.55632,13.46649,47693
Lahr,48.34042,7.86886,47551
Stuttgart-Ost,48.78363,9.21032,47500
Dülmen,51.83149,7.28075,47495
Frankenthal,49.53414,8.35357,47438
Herzogenrath,50.86874,6.09317,47381
Lörrach,47.61497,7.66457,47002
Oberursel,50.20731,8.57747,46678
Albstadt,48.21644,9.02596,46664
Gotha,50.94823,10.70193,46615
Melle,52.20197,8.33826,46514
Staaken,52.53661,13.15057,46369
Alsdorf,50.87673,6.16399,46340
Böblingen,48.68212,9.01171,46282
Langenhorn,53.66667,10.01667,46272
Gronau,52.21099,7.02238,46161
Rheda-Wiedenbrück,51.84967,8.30017,46123
Neustadt am Rübenberge,52.50462,9.45871,45942
Kamen,51.59231,7.6638,45927
Gohlis,51.36667,12.35,45924
Leonberg,48.8,9.01667,45711
Stade,53.59337,9.47629,45634
Bünde,52.19837,8.58644,45376
Bruchsal,49.12426,8.59804,45364
Meiderich,51.46667,6.76667,45297
Wismar,53.89314,11.45286,45255
Amberg,49.44287,11.86267,44737
Erkelenz,51.07947,6.31531,44650
Homburg,49.32637,7.33867,44607
Straubing,48.88126,12.57385,44580
Halle Neustadt,51.47924,11.91605,44515
Brühl,50.82928,6.90499,44137
Fellbach,48.80912,9.27697,43935
Lehrte,52.37193,9.97919,43920
Nordhausen,51.5018,10.7957,43912
Eisenach,50.9807,10.31522,43846
Hoyerswerda,51.43787,14.23549,43681
Freiberg,50.91089,13.33881,43670
Pirmasens,49.20145,7.60529,43582
Goslar,51.90425,10.42766,43560
Lankwitz,52.43623,13.3459,43558
Filderstadt,48.65698,9.22049,43550
Suhl,50.60911,10.69401,43509
Weinheim,49.54887,8.66697,43325
Rodgau,50.02627,8.88588,43315
Bad Kreuznach,49.8414,7.86713,43213
Monheim am Rhein,51.09162,6.89217,43038
Gifhorn,52.47774,10.5511,43000
Britz,52.44293,13.43388,42846
Rottenburg,48.47629,8.93528,42721
Rudow,52.42407,13.48529,42631
Freising,48.40351,11.74876,42570
Weiden,49.67682,12.15613,42550
Kaufbeuren,47.88238,10.62192,42505
Nettetal,51.31667,6.28333,42417
Kaarst,51.22929,6.61883,42112
Wunstorf,52.42377,9.43585,42080
Gallus,50.10038,8.6295,42012
Eberswalde,52.83492,13.81951,41980
Bautzen,51.18035,14.43494,41972
Lemgo,52.02786,8.89901,41943
Coburg,50.25937,10.96384,41901
Bietigheim-Bissingen,48.94407,9.11755,41769
Mülheim,50.96639,7.00384,41711
Landau in der Pfalz,49.19844,8.11692,41612
Heinsberg,51.06358,6.0998,41505
Lichtenberg,52.51395,13.49975,41359
Westend,52.51708,13.27636,41328
Seevetal,53.4,9.96667,41266
Königswinter,50.67734,7.19245,41164
Memmingen,47.98372,10.18527,41135
Völklingen,49.25162,6.85873,41132
Niendorf,53.61769,9.95032,40906
Borken,51.84382,6.85774,40876
Oranienburg,52.75577,13.24197,40793
Pinneberg,53.66732,9.78936,40577
Germering,48.13392,11.3765,40511
Wilhelmstadt,52.52379,13.18916,40463
Dreieich,50.01997,8.69611,40367
Pirna,50.95843,13.93702,40322
Aurich,53.46919,7.48232,40319
Barmbek-Nord,53.6052,10.03988,40261
Nürtingen,48.62565,9.34203,40210
Kirchheim unter Teck,48.64683,9.45378,40206
Buckow,52.42162,13.43613,40146
Märkisches Viertel,52.59841,13.35766,40119
Laatzen,52.31506,9.79739,40038
Hückelhoven,51.0555,6.22658,39828
Dachau,48.26,11.43402,39740
Halberstadt,51.89562,11.05622,39729
Schorndorf,48.80537,9.52721,39697
Spandau,52.5511,13.19921,39653
Neumarkt in der Oberpfalz,49.28028,11.46278,39557
Mettmann,51.2504,6.97536,39550
Löhne,52.18848,8.6922,39521
Kamp-Lintfort,51.50467,6.54587,39490
Bensheim,49.68369,8.61839,39439
Siegburg,50.80019,7.20769,39135
Freital,51.00166,13.6488,39027
Ettlingen,48.94094,8.40763,38942
Biebrich,50.0415,8.24878,38758
Warendorf,51.95109,7.98756,38707
Sankt Ingbert,49.27697,7.11672,38697
Eving,51.55177,7.48087,38687
Falkenhagener Feld,52.55191,13.16802,38667
Altenburg,50.98763,12.43684,38568
Schwabach,49.33047,11.02346,38554
Leuben,51.01122,13.82029,38353
Saarlouis,49.31366,6.75154,38333
Maintal,50.15,8.83333,38313
Buxtehude,53.46716,9.68636,38192
Ahaus,52.07936,7.01344,38165
Mühlhausen,51.20896,10.45275,38108
Hamm,53.55487,10.05742,37989
Neustadt/Süd,50.92509,6.94762,37939
Horn,53.55406,10.08989,37903
Haltern am See,51.74297,7.18163,37845
Beckum,51.75571,8.04075,37814
Hofheim am Taunus,50.09019,8.4493,37750
Stendal,52.6069,11.85867,37722
