,lat,lng
3110,48.2370091,15.5537091
3121,48.2717273,15.5493455
3122,48.2988333,15.4996143
3123,48.27948,15.592852
3124,48.3069571,15.5818143
3125,48.3017857,15.6261429
3130,48.2978182,15.7097091
3131,48.32122,15.69522
3133,48.3452111,15.7552444
3134,48.3407857,15.6986286
3140,48.2353,15.7241833
3141,48.2459333,15.77044
3142,48.24666,15.80545
3143,48.182884,15.711592
3144,48.1479417,15.723775
3150,48.083325,15.6072
3151,48.1052154,15.6060538
3153,48.0718833,15.5848167
3160,48.05,15.6196667
3161,48.0498077,15.6707077
3162,48.04865,15.69535
3163,48.0504,15.72465
3170,48.0162867,15.7960667
3171,48.006075,15.76095
3172,48.0037556,15.8002667
3180,48.0009,15.5818111
3183,47.94985,15.554425
3184,47.931,15.493
3192,47.90035,15.5977833
3193,47.86885,15.58115
3195,47.8069,15.4906
3200,48.1338176,15.5372412
3202,48.0895625,15.509525
3203,48.0734818,15.4898091
3204,48.0649545,15.4725182
3205,48.1068182,15.5206636
3211,47.9657556,15.3439667
3212,47.9509312,15.3384875
3213,47.974365,15.32133
3214,47.9441077,15.3039923
3221,47.8868,15.2911
3222,47.86614,15.36712
3223,47.8709167,15.3299167
3224,47.8483,15.324
3231,48.1366692,15.4650308
3232,48.1212905,15.4513429
3233,48.1085848,15.4309065
3240,48.0966897,15.3141897
3241,48.0818,15.3052611
3242,48.0514808,15.3065077
3243,48.0994529,15.2996137
3244,48.1029471,15.2825
3250,48.1139839,15.1317161
3251,48.0909813,15.1381594
3252,48.11338,15.14232
3253,48.1481778,15.1772
3254,48.1084,15.1404
3261,48.0697395,15.0402974
3262,48.0518833,15.0077222
3263,48.0338727,14.9921182
3264,48.0054071,15.0304786
3270,48.0086071,15.1594
3281,48.054264,15.216046
3282,48.0398444,15.2184667
3283,48.03025,15.2032429
3291,47.9456,15.1271
3292,47.9128,15.0953
3293,47.8951,15.0591
3294,47.883775,15.109325
3295,47.8831,15.1267
3300,48.1196714,14.8441571
3304,48.1238833,14.9209833
3311,48.1198,14.83605
3312,48.1168667,14.7819667
3313,48.14668,14.73666
3314,48.1364833,14.7056
3321,48.15002,14.82334
3322,48.1502333,14.9086667
3323,48.1816556,14.9065778
3324,48.1308,14.9089
3325,48.1143333,14.9722667
3331,47.9973,14.73462
3332,47.9878,14.73065
3333,47.98465,14.7259
3334,47.9057143,14.7167714
3335,47.86478,14.67614
3340,47.9272615,14.8131692
3341,47.8983714,14.8728929
3342,47.8739286,14.8397571
3343,47.8525,14.8278643
3344,47.8534,14.87035
3345,47.8215077,14.8801692
3350,48.0774786,14.59475
3351,48.05425,14.59435
3352,48.03895,14.59625
3353,48.025,14.675
3354,48.0626,14.63605
3355,47.977,14.6313
3361,48.0671,14.7645111
3362,48.1043667,14.8002
3363,48.067575,14.8022
3364,48.0602125,14.8286
3365,48.0449,14.79705
3370,48.15754,15.07424
3371,48.1282545,15.0575091
3372,48.123425,15.010975
3373,48.1469,15.07195
3374,48.1701667,15.0924333
3375,48.15504,15.07848
3376,48.1555667,15.0388667
3380,48.19676,15.30392
3381,48.193925,15.371925
3382,48.2067545,15.3995273
